WKT,type,label,descr,city,region,country,house,phone,zip,highway,level,endlevel,GEOMETRY_X,GEOMETRY_Y
"POINT (172.64572 -43.53313)",5654,,,,,,,,,,0,0,172.64572,-43.53313
"POINT (172.64572 -43.5371)",5654,,,,,,,,,,0,0,172.64572,-43.5371
"POINT (172.64572 -43.52987)",5654,,,,,,,,,,0,0,172.64572,-43.52987
"POINT (172.64572 -43.53203)",5654,,,,,,,,,,0,0,172.64572,-43.53203
"POINT (172.64572 -43.52659)",5654,,,,,,,,,,0,0,172.64572,-43.52659
"POINT (172.64572 -43.53422)",5654,,,,,,,,,,0,0,172.64572,-43.53422
"POINT (172.64576 -43.53991)",5654,,,,,,,,,,0,0,172.64576,-43.53991
"POINT (172.64572 -43.53639)",5654,,,,,,,,,,0,0,172.64572,-43.53639
"POINT (172.64572 -43.53532)",5654,,,,,,,,,,0,0,172.64572,-43.53532
"POINT (172.64572 -43.53096)",5654,,,,,,,,,,0,0,172.64572,-43.53096
"POINT (172.68162 -43.52704)",5654,,,,,,,,,,0,0,172.68162,-43.52704
"POINT (172.67604 -43.53126)",5654,,,,,,,,,,0,0,172.67604,-43.53126
"POINT (172.52798 -43.53847)",5654,,,,,,,,,,0,0,172.52798,-43.53847
"POINT (172.61012 -43.54761)",5654,,,,,,,,,,0,0,172.61012,-43.54761
"POINT (172.61003 -43.5485)",5654,,,,,,,,,,0,0,172.61003,-43.5485
"POINT (172.63664 -43.52087)",5654,,,,,,,,,,0,0,172.63664,-43.52087
"POINT (172.63667 -43.5475)",5654,,,,,,,,,,0,0,172.63667,-43.5475
"POINT (172.63676 -43.55043)",5654,,,,,,,,,,0,0,172.63676,-43.55043
"POINT (172.63688 -43.55714)",5654,,,,,,,,,,0,0,172.63688,-43.55714
"POINT (172.63824 -43.50873)",5654,,,,,,,,,,0,0,172.63824,-43.50873
"POINT (172.63272 -43.50262)",5654,,,,,,,,,,0,0,172.63272,-43.50262
"POINT (172.6381 -43.51345)",5654,,,,,,,,,,0,0,172.6381,-43.51345
"POINT (172.56854 -43.53935)",5654,,,,,,,,,,0,0,172.56854,-43.53935
"POINT (172.57086 -43.54302)",5654,,,,,,,,,,0,0,172.57086,-43.54302
"POINT (172.63368 -43.52086)",5654,,,,,,,,,,0,0,172.63368,-43.52086
"POINT (172.63362 -43.52444)",5654,,,,,,,,,,0,0,172.63362,-43.52444
"POINT (172.63366 -43.54748)",5654,,,,,,,,,,0,0,172.63366,-43.54748
"POINT (172.69557 -43.54648)",5654,,,,,,,,,,0,0,172.69557,-43.54648
"POINT (172.65991 -43.54936)",5654,,,,,,,,,,0,0,172.65991,-43.54936
"POINT (172.70567 -43.55794)",5654,,,,,,,,,,0,0,172.70567,-43.55794
"POINT (172.66557 -43.54274)",5654,,,,,,,,,,0,0,172.66557,-43.54274
"POINT (172.67909 -43.54729)",5654,,,,,,,,,,0,0,172.67909,-43.54729
"POINT (172.6504 -43.53826)",5654,,,,,,,,,,0,0,172.6504,-43.53826
"POINT (172.65057 -43.53993)",5654,,,,,,,,,,0,0,172.65057,-43.53993
"POINT (172.65049 -43.52079)",5654,,,,,,,,,,0,0,172.65049,-43.52079
"POINT (172.6506 -43.53547)",5654,,,,,,,,,,0,0,172.6506,-43.53547
"POINT (172.6506 -43.53833)",5654,,,,,,,,,,0,0,172.6506,-43.53833
"POINT (172.6201 -43.55834)",5654,,,,,,,,,,0,0,172.6201,-43.55834
"POINT (172.64262 -43.54749)",5654,,,,,,,,,,0,0,172.64262,-43.54749
